测试用例序号,模块,测试点,测试用例标题,优先级,操作步骤,预期结果,最终结果,备注,测试人
tc_001,用户中心,账号密码登录,正确账号密码登录成功,P0,"1. 打开登录页面
2. 输入正确账号 admin@test.com
3. 输入正确密码 Test@123456
4. 点击「登录」按钮",页面跳转至首页，右上角显示用户名"admin",,前置条件：已有注册账号,
tc_002,用户中心,账号密码登录,错误密码登录失败,P1,"1. 打开登录页面
2. 输入正确账号 admin@test.com
3. 输入错误密码 WrongPass123
4. 点击「登录」按钮",页面提示"账号或密码错误"，停留在登录页,,,
tc_003,用户中心,账号密码登录,不存在的账号登录失败,P1,"1. 打开登录页面
2. 输入未注册账号 notexist@test.com
3. 输入任意密码 Test@123456
4. 点击「登录」按钮",页面提示"账号不存在"或"账号或密码错误"，停留在登录页,,,
tc_004,用户中心,账号密码登录,账号为空时登录失败,P1,"1. 打开登录页面
2. 账号输入框留空
3. 输入正确密码 Test@123456
4. 点击「登录」按钮",账号输入框标红，提示"请输入账号"，登录按钮置灰不可点击,,,
tc_005,用户中心,账号密码登录,密码为空时登录失败,P1,"1. 打开登录页面
2. 输入正确账号 admin@test.com
3. 密码输入框留空
4. 点击「登录」按钮",密码输入框标红，提示"请输入密码"，登录按钮置灰不可点击,,,
tc_006,用户中心,账号密码登录,连续输错密码5次后账号锁定,P1,"1. 打开登录页面
2. 输入正确账号 admin@test.com
3. 连续5次输入错误密码
4. 第6次输入正确密码点击登录",提示"账号已被锁定，请15分钟后再试"，无法登录,,需根据PRD确认锁定策略,
tc_007,用户中心,账号密码登录,空表单直接提交登录,P1,"1. 打开登录页面
2. 不输入任何内容
3. 点击「登录」按钮",账号和密码输入框均标红，分别提示"请输入账号"和"请输入密码",,,
tc_008,用户中心,账号密码登录,密码输入特殊字符登录,P2,"1. 打开登录页面
2. 输入正确账号 admin@test.com
3. 输入密码 !@#$%^&*()
4. 点击「登录」按钮",根据系统密码规则：若允许特殊字符则正常处理；若不允许则提示密码格式错误,,需确认系统密码规则,
tc_009,用户中心,账号密码登录,登录时网络异常处理,P1,"1. 打开登录页面
2. 输入正确账号和密码
3. 断开网络连接
4. 点击「登录」按钮",提示"网络连接异常，请检查网络后重试"，停留在登录页,,,
tc_010,用户中心,账号密码登录,登录超时处理,P2,"1. 模拟网络延迟超过设定的超时时间
2. 输入正确账号和密码
3. 点击「登录」按钮",提示"请求超时，请重试"，停留在登录页,,需确认超时时间设置,
tc_011,用户中心,账号密码登录,SQL注入防范验证,P1,"1. 打开登录页面
2. 在账号输入框输入 ' OR '1'='1' --
3. 在密码输入框输入任意内容
4. 点击「登录」按钮",登录失败，提示"账号或密码错误"，不暴露数据库错误信息,,安全测试,
tc_012,用户中心,账号密码登录,XSS攻击防范验证,P2,"1. 打开登录页面
2. 在账号输入框输入 <script>alert('xss')</script>
3. 输入任意密码
4. 点击「登录」按钮",脚本不被执行，页面正常显示错误提示,,安全测试,
