测试用例序号,模块,测试点,测试用例标题,优先级,操作步骤,预期结果,最终结果,备注,测试人
testcase_001,应用启动,应用安装与启动,macOS双击安装AionUi并启动,高,"1 从官网下载macOS 12版一体机客户端安装包
2 双击安装包完成安装
3 双击应用图标启动一体机客户端连接机器进入agent点击agenthub","1 安装过程无报错
2 启动后显示agent主窗口，点击agenthub默认进入对话页面
4 窗口尺寸正常，无白屏或崩溃,显示Claude code，codex，openclaw",FIXED,macOS 12agenthub页面白屏问题以已复,liyeshuang
testcase_002,应用启动,应用安装与启动,Windows安装AionUi应用,高,"1 从官网下载win版一体机客户端安装包
2 双击安装包完成安装
3 双击应用图标启动一体机客户端连接机器进入agent点击agenthub","1 安装过程无报错
2 启动后显示agent主窗口，点击agenthub默认进入对话页面
4 窗口尺寸正常，无白屏或崩溃,显示Claude code，codex，openclaw",PASS,,
testcase_003,应用启动,应用安装与启动,首次启动未配置API Key的引导流程,高,"1 启动agenthub
2 不输入任何API Key
3 尝试发送消息","1 显示引导/向导页面(guid页面)
2 无任何提示用户需要配置API Key
3 ",？,,
testcase_004,应用启动,应用安装与启动,Node版本不满足要求时的启动行为,中,"1 在Node.js版本低于22的环境中启动AionUi
2 观察启动行为","1 安装过程提示Node版本不满足最低要求(需>=22 <25)
2 应用可能无法正常启动或提示用户升级Node版本",？,,
testcase_005,应用启动,应用安装与启动,连续启动关闭agethub 10次,中,"1 启动agenthub
2 等待完全加载后关闭
3 重复以上步骤10次","1 每次启动均正常加载主界面
2 无崩溃或数据丢失
3 最近会话和历史数据保持不变",,,
testcase_006,单agent损坏不影响其他agent正常功能,单agent损坏不影响其他agent正常功能,codex不可用；cc & openclaw正常可用,高,"1 手动ssh损坏本地数据库文件：修改codex_config.yaml,保存，重启docker
2 重新agenthub分别使用codex，cc，openclaw对话","1 codex提示agent不可用：模型配置需要确认，暂不可用
2 cc&openclaw正常可以对话回复，用户确认后应用恢复或重建数据库
3 codex应用最终可正常启动",PASS,CHANGELOG v2.1.28提到修复了此场景,
testcase_007,单agent损坏不影响其他agent正常功能,单agent损坏不影响其他agent正常功能,cc不可用；codex & openclaw正常可用,高,"1 手动ssh损坏本地数据库文件：修改docker_config.yaml中anthropiy的baseyrl,保存，重启docker
2 重新agenthub分别使用codex，cc，openclaw对话","1 cc提示agent不可用：agent暂不可用
2 codex&openclaw正常可以对话回复，用户确认后应用恢复或重建数据库
3 cc应用最终可正常启动",PASS,,
,单agent损坏不影响其他agent正常功能,单agent损坏不影响其他agent正常功能,cc不可用；codex & openclaw正常可用,高,"1 手动ssh损坏本地数据库文件：修改openclaw_config.yaml,保存，重启docker
2 重新agenthub分别使用codex，cc，openclaw对话","1 openclaw提示agent不可用：agent暂不可用
2 codex&cc正常可以对话回复，用户确认后应用恢复或重建数据库
3openclawc应用最终可正常启动",PASS,,
testcase_022,cc&codex&openclaw同时生成,cc&codex&openclaw同时生成,codex对话中途切换到claude，openclw对话，三者同时进行对话；三者互补影响，均能回复完成,高,"1 使用codex开始一段对话，codex回复中，分别在cc，openclaw对话
2分别在cc，openclaw对话","1 三者均能同时生成任务
2 之前对话历史保留并传递给新模型
3 claude能理解上下文继续回复，
4 切换过程中不丢失消息",,,
testcase_023,AI代理配置,模型切换,切换不支持的模型组合,低,"1 配置了不支持图片的纯文本模型
2 尝试上传图片并在对话中发送
3 观察模型处理行为","1 给出明确提示该模型不支持图片输入
2 或自动将图片转为文字描述后发送
3 不会出现未处理异常或崩溃",,,
